date, ssid, download, upload, ping
2020-05-13 08:11:58.258139, rx600m-8c430c-1, 16.682, 27.834, 38.521
2020-05-13 08:22:31.205080, rx600m-8c430c-1, 21.572, 34.560, 29.125
2020-05-13 08:33:03.484936, rx600m-8c430c-1, 21.082, 69.441, 32.745
2020-05-13 08:43:35.231540, rx600m-8c430c-1, 7.353, 15.365, 30.836
2020-05-13 08:54:09.481708, rx600m-8c430c-1, 15.968, 42.169, 29.742
2020-05-13 09:04:41.925719, rx600m-8c430c-1, 12.620, 27.045, 30.896
2020-05-13 09:15:08.524140, rx600m-8c430c-1, 11.368, 32.152, 30.87
2020-05-13 09:25:38.416092, rx600m-8c430c-1, 3.786, 23.471, 25.854
2020-05-13 09:36:06.983687, rx600m-8c430c-1, 2.442, 26.178, 31.375
2020-05-13 09:46:38.132904, rx600m-8c430c-1, 17.172, 27.982, 31.41
2020-05-13 09:57:07.835517, rx600m-8c430c-1, 4.530, 31.387, 32.784
2020-05-13 10:07:38.975220, rx600m-8c430c-1, 3.921, 43.957, 29.482
2020-05-13 10:18:06.814285, rx600m-8c430c-1, 4.604, 15.492, 27.212
2020-05-13 10:28:34.753199, rx600m-8c430c-1, 4.222, 12.383, 27.78
2020-05-13 10:39:03.591453, rx600m-8c430c-1, 2.430, 34.764, 33.713
2020-05-13 10:49:33.835638, rx600m-8c430c-1, 3.598, 20.020, 35.626
2020-05-13 11:00:08.963075, rx600m-8c430c-1, 2.409, 28.987, 34.295
2020-05-13 11:10:38.604467, rx600m-8c430c-1, 0.633, 29.055, 29.766
2020-05-13 11:21:13.242623, rx600m-8c430c-1, 3.014, 47.830, 32.905
2020-05-13 11:31:41.997435, rx600m-8c430c-1, 3.721, 13.828, 27.091
2020-05-13 11:42:11.778292, rx600m-8c430c-1, 3.118, 50.952, 28.73
2020-05-13 11:52:39.943390, rx600m-8c430c-1, 4.335, 19.561, 29.816
2020-05-13 12:03:05.976501, rx600m-8c430c-1, 3.863, 49.094, 49.688
2020-05-13 12:07:59.623011, rx600m-8c430c-1, 5.337, 17.743, 28.931
2020-05-13 12:18:26.547288, rx600m-8c430c-1, 3.009, 29.946, 28.526
2020-05-13 12:28:56.611256, rx600m-8c430c-1, 3.296, 22.551, 29.188
2020-05-13 12:39:28.749164, rx600m-8c430c-1, 3.000, 16.242, 33.078
2020-05-13 12:49:58.797689, rx600m-8c430c-1, 1.636, 36.985, 30.266
2020-05-13 13:00:31.844893, rx600m-8c430c-1, 1.438, 17.168, 28.499
2020-05-13 13:11:04.069158, rx600m-8c430c-1, 2.216, 17.260, 28.844
2020-05-13 13:21:38.330488, rx600m-8c430c-1, 1.991, 39.445, 34.609
2020-05-13 13:32:07.404515, rx600m-8c430c-1, 2.248, 13.153, 35.117
2020-05-13 13:42:37.408728, rx600m-8c430c-1, 1.789, 28.857, 30.51
2020-05-13 13:53:10.272591, rx600m-8c430c-1, 0.686, 12.733, 70.486
2020-05-13 14:03:46.158879, rx600m-8c430c-1, 0.695, 7.322, 33.001
2020-05-13 14:14:19.323448, rx600m-8c430c-1, 0.992, 13.167, 78.785
2020-05-13 14:58:46.551963, tullys_Wi-Fi, 8.421, 8.776, 54.073
2020-05-13 15:09:23.884705, tullys_Wi-Fi, 7.742, 8.927, 47.373
